Individual	longitude	latitude	species	Haplotype_available
4676	8.20	47.73	Niphargus_aquilex	No
4677	8.19	48.05	Niphargus_aquilex	No
4678	7.77	48.31	Niphargus_aquilex	No
4679	8.07	48.63	Niphargus_aquilex	No
4680	7.99	48.67	Niphargus_aquilex	No
4681	9.03	48.70	Niphargus_aquilex	No
4682	8.70	49.43	Niphargus_aquilex	No
4683	8.80	48.90	Niphargus_aquilex	No
4684	8.70	49.11	Niphargus_aquilex	No
4685	9.45	48.60	Niphargus_aquilex	No
4686	9.41	47.86	Niphargus_aquilex	No
4687	9.62	47.79	Niphargus_aquilex	No
4688	9.70	47.88	Niphargus_aquilex	No
4689	9.06	49.18	Niphargus_aquilex	No
4690	8.19	48.93	Niphargus_aquilex	No
4726	8.54	47.72	Niphargus_fontanus	No
4796	7.35	47.43	Gammarus_fossarum_Komplex	No
4797	7.35	47.43	Niphargus_rhenorhodanensis_Komplex	No
4798	7.38	47.42	Niphargus_rhenorhodanensis_Komplex	No
4799	7.38	47.43	Niphargus_rhenorhodanensis_Komplex	No
4800	8.53	47.74	Niphargus_puteanus	No
4801	8.53	47.74	Niphargus_fontanus	No
4802	8.53	47.74	Niphargus_puteanus	No
4803	8.53	47.74	Niphargus_fontanus	No
4804	8.53	47.74	Niphargus_fontanus	No
4805	8.53	47.74	Niphargus_puteanus	No
4806	8.53	47.74	Niphargus_fontanus	No
4807	8.53	47.74	Niphargus_puteanus	No
4808	8.53	47.74	Niphargus_fontanus	No
4809	8.59	47.77	Niphargus_fontanus	No
4816	8.74	47.46	NA	No
4817	8.73	47.46	NA	No
4818	8.73	47.46	Gammarus_sp.	No
4819	8.76	47.45	Niphargus_laisi	No
4820	8.76	47.45	Niphargus_tonywhitteni	No
4821	8.76	47.45	Niphargus_laisi	No
4822	8.76	47.45	Niphargus_laisi	No
4823	8.76	47.45	Niphargus_laisi	No
4824	8.83	47.44	NA	No
4825	8.83	47.44	Niphargus_tonywhitteni	No
4826	8.85	47.40	NA	No
4827	8.85	47.40	NA	No
4828	8.85	47.40	NA	No
4829	8.85	47.40	NA	No
4830	8.85	47.40	NA	No
4831	8.86	47.37	NA	No
4832	8.86	47.37	Niphargus_tonywhitteni	No
4833	8.84	47.42	NA	No
4834	8.84	47.42	NA	No
4835	8.84	47.42	NA	No
4836	8.84	47.42	NA	No
4837	8.84	47.43	NA	No
4838	10.1	46.69	Niphargus_sp.	No
4839	10.1	46.69	Niphargus_cf._thienemanni	No
4840	10.1	46.69	Niphargus_sp.	No
4841	10.1	46.69	Niphargus_cf._thienemanni	No
5653	10.1	46.69	Niphargus_sp.	No
5654	10.1	46.69	Niphargus_sp.	No
5655	10.1	46.69	Crangonyx_subterraneus	No
5656	10.1	46.69	Niphargus_sp.	No
5657	7.28	47.04	Niphargus_auerbachi	No
5658	7.45	47.21	Niphargus_tonywhitteni	No
5659	8.44	47.48	Niphargus_auerbachi	No
5660	8.44	47.47	Niphargus_fontanus	No
5661	7.87	47.52	Niphargus_puteanus	No
5662	7.87	47.52	Niphargus_puteanus	No
5663	7.87	47.52	Niphargus_puteanus	No
5664	7.79	47.16	Niphargus_tonywhitteni	No
5665	7.47	47.17	Niphargus_sp.	No
5666	7.59	47.43	Niphargus_rhenorhodanensis_Komplex	No
5667	7.47	47.17	Niphargus_auerbachi	No
5668	7.28	47.04	Niphargus_sp.	No
5669	7.28	47.04	Niphargus_arolaensis	No
5670	7.96	47.40	Niphargus_fontanus	No
5671	7.96	47.40	Niphargus_puteanus	No
5672	7.47	47.17	Niphargus_sp.	No
5673	9.03	46.98	Niphargus_thienemanni	No
5674	8.38	47.52	Niphargus_fontanus	No
5675	8.00	47.48	Niphargus_tonywhitteni	No
5676	7.59	46.83	Niphargus_auerbachi	No
5677	7.59	46.83	Niphargus_luchoffmanni	No
5678	7.28	47.04	Niphargus_arolaensis	No
5679	7.28	47.04	Niphargus_sp.	No
5680	8.42	47.27	Niphargus_auerbachi	No
5681	8.43	47.42	Niphargus_fontanus	No
5682	8.53	47.17	Niphargus_luchoffmanni	No
5683	7.73	47.39	Niphargus_fontanus	No
5684	7.80	47.43	Niphargus_fontanus	No
5685	8.34	47.55	Niphargus_puteanus	No
5686	8.74	47.43	Niphargus_tonywhitteni	No
5687	8.75	47.44	Niphargus_fontanus	No
5688	8.20	47.35	Niphargus_arolaensis	No
5689	8.00	47.31	Niphargus_arolaensis	No
5690	8.90	47.36	Niphargus_auerbachi	No
5691	8.90	47.36	Niphargus_tonywhitteni	No
5692	8.45	47.38	Niphargus_luchoffmanni	No
5693	8.44	47.39	Niphargus_tonywhitteni	No
5694	8.44	47.39	Niphargus_thienemanni	No
5695	8.45	47.38	Niphargus_luchoffmanni	No
5696	8.85	47.38	Niphargus_tonywhitteni	No
5697	8.44	47.39	Niphargus_tonywhitteni	No
5698	8.65	47.29	Niphargus_luchoffmanni	No
5699	8.85	47.38	Niphargus_auerbachi	No
5700	8.85	47.38	Niphargus_tonywhitteni	No
5701	8.90	47.36	Niphargus_auerbachi	No
5702	8.90	47.36	Niphargus_fontanus	No
5703	8.44	47.39	Niphargus_thienemanni	No
5704	8.44	47.39	Niphargus_thienemanni	No
